YearsExperience,EducationLevel,Age,Salary
9.4,Bachelors,34.0,50402.97
23.8,Bachelors,47.0,124754.71
18.3,Masters,41.0,102102.14
15.0,Masters,40.0,89273.01
3.9,Masters,28.0,63762.85
3.9,Masters,26.0,70848.76
1.5,Masters,27.0,57171.36
21.7,Masters,47.0,123769.55
15.0,Bachelors,41.0,85473.77
17.7,Bachelors,42.0,96217.08
0.5,Bachelors,25.0,35544.64
24.2,PhD,47.0,146105.96
20.8,PhD,46.0,133321.01
5.3,Bachelors,31.0,48237.03
4.5,Masters,26.0,56980.18
4.6,PhD,26.0,74696.62
7.6,Bachelors,30.0,48135.22
13.1,Masters,38.0,90358.3
10.8,PhD,37.0,92857.04
7.3,Bachelors,29.0,50032.05
15.3,Masters,39.0,99449.47
3.5,Bachelors,26.0,49210.01
7.3,PhD,33.0,90141.58
9.2,PhD,34.0,84347.5
11.4,PhD,37.0,94951.86
19.6,Bachelors,43.0,103303.86
5.0,Masters,28.0,57587.56
12.9,Masters,35.0,89026.83
14.8,Bachelors,36.0,84550.26
1.2,Masters,27.0,44358.28
15.2,Bachelors,40.0,83726.88
4.3,Masters,30.0,53379.87
1.6,Bachelors,28.0,32593.16
23.7,Bachelors,47.0,114548.91
24.1,Bachelors,49.0,106385.03
20.2,Masters,46.0,117902.37
7.6,Bachelors,33.0,56501.81
2.4,Masters,25.0,56162.45
17.1,Bachelors,40.0,90969.57
11.0,Bachelors,33.0,75320.7
3.1,Bachelors,29.0,41476.12
12.4,Masters,36.0,86252.97
0.9,Bachelors,23.0,33761.49
22.7,Masters,47.0,127166.49
6.5,Masters,31.0,67994.3
16.6,Masters,39.0,103302.96
7.8,Bachelors,29.0,53790.04
13.0,Bachelors,37.0,72185.5
13.7,Masters,37.0,85936.97
4.6,Bachelors,29.0,54847.88
24.2,Masters,48.0,123480.68
19.4,Bachelors,45.0,94435.47
23.5,PhD,47.0,138657.96
22.4,Masters,46.0,127874.62
14.9,PhD,40.0,110675.25
23.0,Bachelors,46.0,116738.71
2.2,Masters,24.0,49332.55
4.9,Bachelors,26.0,48544.97
1.1,Bachelors,26.0,29673.26
8.1,Masters,32.0,84075.75
9.7,Masters,34.0,73012.01
6.8,PhD,29.0,85349.1
20.7,Masters,42.0,120618.88
8.9,Bachelors,30.0,63219.0
7.0,Bachelors,30.0,53573.56
13.6,Masters,38.0,91950.9
3.5,Bachelors,26.0,42469.06
20.1,Bachelors,43.0,99614.99
1.9,Bachelors,27.0,41469.4
24.7,Bachelors,47.0,127502.62
